Locus,Sequence_Length,Aromaticity,Sec_Struct_Helix,Sec_Struct_Turn,Sec_Struct_Sheet_x,Percent_A,Percent_C_x,Percent_D,Percent_E,Percent_F,Percent_G,Percent_H,Percent_I,Percent_K,Percent_L,Percent_M,Percent_N,Percent_P,Percent_Q,Percent_R,Percent_S,Percent_T,Percent_V,Percent_W,Percent_Y,IsoelectricPoint,Tiny_Number,Small_Number,Aliphatic_Number,Aromatic_Number,Non-polar_Number,Polar_Number,Charged_Number,Basic_Number,Acidic_Number,predict_xgboost,predict_rfc,Local Average Connectivity_y,Density of Maximum neighborhood Component_y,Topology Potential_y,Edge Clustering Coefficient_y,DegreeCentrality_y,EigenvectorCentrality_y,BetweennessCentrality_y,ClosenessCentrality_y,Clustering_y,predict_rfc_over,predict_rfc_under
6183.A0A146MGD5,68,0.0147058823529411,0.4411764705882353,0.2647058823529412,0.2941176470588235,0.0588235294117647,0.0147058823529411,0.0588235294117647,0.0735294117647058,0.0147058823529411,0.0735294117647058,0.0,0.0588235294117647,0.0588235294117647,0.088235294117647,0.0147058823529411,0.0294117647058823,0.0147058823529411,0.0588235294117647,0.1470588235294117,0.0294117647058823,0.088235294117647,0.1176470588235294,0.0,0.0,11.0845,18,33,22,1,31,37,23,14,9,1,1,0.302078912909742,0.4011584680556756,460.9791723959459,0.4743814642508044,0.0910013531799729,0.008073254162563,0.0001067594842561,0.5064936376914413,0.4011584680556756,1,1
6183.A0A146MHP7,361,0.0581717451523545,0.3490304709141273,0.3628808864265928,0.2880886426592798,0.077562326869806,0.0360110803324099,0.0609418282548476,0.0581717451523545,0.0304709141274238,0.0720221606648199,0.0304709141274238,0.0332409972299169,0.0470914127423822,0.0886426592797784,0.0360110803324099,0.0443213296398892,0.0443213296398892,0.0304709141274238,0.0581717451523545,0.0941828254847645,0.0470914127423822,0.0831024930747922,0.0110803324099723,0.0166204986149584,6.5585,118,202,102,32,191,170,92,49,43,1,1,0.3586397397796618,0.3712402195442275,554.6905166396806,0.4520756402421552,0.1156968876860622,0.015046058846112,0.0001590021978246,0.5175253287686996,0.3712402195442275,1,1
6183.A0A3Q0KB99,872,0.0974770642201834,0.3130733944954128,0.3853211009174312,0.3016055045871559,0.0424311926605504,0.0286697247706422,0.0527522935779816,0.0561926605504587,0.0493119266055045,0.0355504587155963,0.0263761467889908,0.0596330275229357,0.0504587155963302,0.1181192660550458,0.018348623853211,0.0653669724770642,0.0573394495412844,0.0206422018348623,0.0573394495412844,0.1238532110091743,0.0447247706422018,0.0447247706422018,0.0091743119266055,0.0389908256880734,7.325,240,432,231,108,438,434,212,117,95,1,1,0.2494752882560056,0.1881923955199536,494.1556577916151,0.2902214949793176,0.0993741542625169,0.0080119195218119,0.0005186459347841,0.5131185380132623,0.1881923955199536,1,1
6183.A0A3Q0KBC6,587,0.0749574105621805,0.3083475298126064,0.3850085178875638,0.3066439522998296,0.0664395229982964,0.0187393526405451,0.0749574105621805,0.0306643952299829,0.0255536626916524,0.06984667802385,0.0272572402044293,0.0374787052810902,0.0579216354344122,0.1039182282793867,0.0085178875638841,0.0255536626916524,0.0494037478705281,0.0459965928449744,0.0528109028960817,0.1073253833049403,0.0613287904599659,0.0868824531516184,0.0306643952299829,0.0187393526405451,7.9925,190,329,173,60,303,284,143,81,62,1,1,0.3012681618954939,0.5007778464268174,370.5509203435324,0.5447250998103339,0.0672361299052774,0.0058972331391769,3.131563240414363e-05,0.4959645179057382,0.5007778464268174,1,1
6183.A0A3Q0KBD1,440,0.084090909090909,0.3431818181818181,0.3454545454545454,0.3113636363636364,0.0772727272727272,0.0227272727272727,0.0454545454545454,0.0613636363636363,0.0363636363636363,0.084090909090909,0.0295454545454545,0.0545454545454545,0.0681818181818181,0.1113636363636363,0.0204545454545454,0.034090909090909,0.0431818181818181,0.0227272727272727,0.05,0.0704545454545454,0.0522727272727272,0.0681818181818181,0.0113636363636363,0.0363636363636363,8.3182,135,219,137,50,249,191,112,65,47,1,1,0.2692656026932808,0.2432642363992478,501.7839277650996,0.3783098043289212,0.1012347767253044,0.0077381035352652,0.0002076839070619,0.5150627682758143,0.2432642363992478,1,1
6183.A0A3Q0KBD5,414,0.1014492753623188,0.323671497584541,0.3671497584541063,0.3091787439613526,0.036231884057971,0.0338164251207729,0.0628019323671497,0.0628019323671497,0.0579710144927536,0.0434782608695652,0.0193236714975845,0.0483091787439613,0.0603864734299516,0.1014492753623188,0.0217391304347826,0.072463768115942,0.0241545893719806,0.036231884057971,0.0652173913043478,0.1038647342995169,0.0531400966183574,0.0531400966183574,0.0048309178743961,0.038647342995169,7.2721,112,200,99,50,192,222,112,60,52,1,1,0.2743747130186967,0.2595939933259177,267.88389276830424,0.2786227982765129,0.0396650879566982,0.0036045231652556,3.189868496467449e-05,0.4883403505391268,0.2551983671386656,1,1
6183.A0A3Q0KBE4,199,0.0804020100502512,0.3015075376884422,0.3919597989949748,0.3065326633165829,0.0703517587939698,0.0653266331658291,0.050251256281407,0.0753768844221105,0.0201005025125628,0.0301507537688442,0.0201005025125628,0.0351758793969849,0.0854271356783919,0.0854271356783919,0.0150753768844221,0.0703517587939698,0.0904522613065326,0.0201005025125628,0.0351758793969849,0.0653266331658291,0.0603015075376884,0.0452261306532663,0.0050251256281407,0.0552763819095477,6.7838,58,109,47,20,103,96,53,28,25,1,1,0.3411581649831826,0.3171545979402512,493.5655068078974,0.385477975015737,0.0990358592692828,0.0104000577816499,0.0003157457534755,0.5143149868700465,0.3171545979402512,1,1
6183.A0A3Q0KBF1,121,0.1074380165289256,0.3553719008264463,0.2975206611570248,0.3471074380165289,0.1322314049586777,0.024793388429752,0.0165289256198347,0.0082644628099173,0.0743801652892562,0.0909090909090909,0.0082644628099173,0.0578512396694214,0.0413223140495867,0.1157024793388429,0.0413223140495867,0.024793388429752,0.0413223140495867,0.0330578512396694,0.024793388429752,0.0826446280991735,0.0743801652892562,0.0743801652892562,0.0,0.0330578512396694,9.5886,49,68,46,14,83,38,12,9,3,1,1,0.2871936946123659,0.274088729883396,488.04332894409407,0.3679729767424655,0.0980209742895805,0.0081840253926202,0.0005782797175083,0.5105192214313358,0.2712629701323725,1,1
6183.A0A3Q0KBF4,482,0.0850622406639004,0.3049792531120332,0.3713692946058091,0.3236514522821576,0.0414937759336099,0.0207468879668049,0.0539419087136929,0.0456431535269709,0.0269709543568464,0.0373443983402489,0.0228215767634854,0.0580912863070539,0.0643153526970954,0.1016597510373444,0.0165975103734439,0.0684647302904564,0.0456431535269709,0.0456431535269709,0.0539419087136929,0.1016597510373444,0.0705394190871369,0.0663900414937759,0.0207468879668049,0.0373443983402489,8.8339,131,244,129,52,228,254,116,68,48,1,1,0.2333752728694191,0.3014846925410466,272.5607720184736,0.3137319970413146,0.0413565629228687,0.0025173049687236,3.5993491917914225e-05,0.4857834885333952,0.2990210868617788,1,1
6183.A0A3Q0KBF8,1040,0.0451923076923077,0.4067307692307692,0.3413461538461538,0.2519230769230769,0.0663461538461538,0.0057692307692307,0.0596153846153846,0.1028846153846153,0.0240384615384615,0.048076923076923,0.0211538461538461,0.0509615384615384,0.0826923076923076,0.0942307692307692,0.0201923076923076,0.0548076923076923,0.0240384615384615,0.060576923076923,0.0625,0.0721153846153846,0.060576923076923,0.0682692307692307,0.0028846153846153,0.0182692307692307,6.0357,263,478,291,69,440,600,342,173,169,1,1,0.3587183347388078,0.3463413596471985,510.18282425322207,0.434751247615771,0.1037719891745602,0.0130918966969391,0.0003140783669925,0.5136596358168706,0.3463413596471985,1,1
