Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
6239.K12H6.3.1,0.0029731336829017787,0.0002356893399668681,3.0554013858864274e-06,0.399902451782954,0.38922558922558925
6239.F13E9.13.1,0.0017838802097410672,0.00027962774407478747,1.4436490778166634e-08,0.3940812061775165,0.24053030303030304
6239.T21G5.3.1,0.1031947672847181,0.01612857235816692,0.0006185377148062408,0.4942573555650675,0.20708538282196326
6239.C18F10.5.1,0.0018919941618465864,0.00014204603128173016,5.6394130232120515e-08,0.3819475800941223,0.7294117647058823
6239.Y32B12B.6.1,0.01670360560030272,0.0014852955566942946,9.85703535357225e-05,0.44074673111895485,0.447274408439457
6239.C45G3.1.1,0.036758743715876535,0.00596675284200048,2.071607376347557e-05,0.4673074444173353,0.3083037338646799
6239.Y105C5B.15a.1,0.019784853235310016,0.003528662230362119,3.589442178541904e-05,0.45450102373534723,0.18068717718392094
6239.K05C4.7.1,0.03956970647062003,0.00497950701385521,0.0001382400746682408,0.4590342475906769,0.336958878099467
6239.C04F12.8.1,0.042002270392994215,0.008193184520950888,2.6163756494780813e-05,0.47388754512257075,0.27776340405206384
6239.F22E10.1.1,0.03205578679928645,0.004537148705075287,0.0001080430122160188,0.47095370731859365,0.20839410236543457
6239.W03G9.6.1,0.06978755608411266,0.015864944283474215,0.00013149200512008516,0.4658411221563972,0.5786884753721351
6239.K02H11.4.1,0.04411049245905184,0.004513707325027113,4.3205946556842365e-05,0.46856825151131404,0.6539095392758331
6239.F42H10.3a.1,0.03070436239796746,0.004182742374758185,2.3480697765226416e-05,0.46884272164463275,0.10707454604168219
6239.W10C8.2.1,0.034001837937185794,0.0035801464566959755,0.00013993416070150053,0.4721858431112039,0.1599495711522688
6239.Y59A8B.22a.1,0.01773068814530515,0.0017662244239932349,2.3792675211127965e-05,0.457892484961111,0.17367792943984486
6239.T28F3.4a.1,0.0033515325152710957,7.40259609083763e-05,6.146484706712769e-06,0.3756501135652064,0.5081967213114754
6239.Y48G9A.11.1,0.0009189685928969134,7.346328343261513e-05,9.411253332079173e-09,0.35546369818642,0.40441176470588236
6239.Y17G7B.22.1,0.0007567976647386346,2.986702959849797e-05,8.184059947220847e-10,0.34908712364419275,0.6153846153846154
6239.ZK938.2.1,0.005189469701064923,0.00037200424947923317,1.20626118471444e-05,0.409929399335898,0.275
6239.C56G2.3.2,0.018271257905832748,0.0027453043574181438,1.2607090027407715e-06,0.43727100867877683,0.6209330500588204
6239.C06A8.9a.1,0.014865668414508893,0.0010521107360233462,3.764381243501747e-05,0.44114808208426803,0.19360318513603186
6239.C08F1.1.1,0.022649872966106276,0.0022545446123320044,1.3109464623704058e-06,0.434136153791541,0.8782245263843053
6239.ZK666.6.1,0.039731877398778315,0.00849899212744331,0.0001755046202128734,0.4737290135197248,0.2580696583810636
