Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
6183.A0A5K4EPI4,0.12381596752368065,0.01877591352318714,3.765846288673863e-05,0.5211474523696575,0.40720467338241284
6183.A0A3Q0KME3,0.08102165087956699,0.007088434674413417,5.020280842407455e-05,0.5023151141475597,0.4305141982055091
6183.A0A5K4FCV1,0.007865358592692828,0.00031030171473954416,4.36532498276693e-06,0.4338286136325438,0.28775128564749886
6183.A0A3Q0KNH6,0.027655615696887688,0.0036965577673242433,6.40556452744383e-06,0.47218594601971714,0.4717735126920696
6183.A0A5K4EEE6,0.09150879566982409,0.013768049672255991,3.546653339483041e-05,0.5090741879270231,0.468148373604915
6183.A0A3Q0KG74,0.05564952638700948,0.006380706229298475,1.5239671284719063e-05,0.49216434351686766,0.32907246256124134
6183.A0A3Q0KR97,0.007780784844384304,0.00048278133725361907,9.363130268141946e-07,0.45154034961591955,0.23268036311514573
6183.G4VH39,0.014377537212449257,0.0008224298101199959,2.299596064231774e-05,0.4443997434637025,0.30233205708318833
6183.A0A5K4EN77,0.0012686062246278756,9.423929748960214e-05,1.596292318978869e-07,0.37681729150193904,0.1619047619047619
6183.A0A5K4F2D6,0.06706698240866035,0.008588391026190969,0.00011670971787144146,0.49478899782266716,0.434617295273033
6183.A0A3Q0KHR7,0.04397834912043302,0.005091286144373066,2.3947444756625852e-05,0.4843946155447152,0.38592707870164517
6183.A0A5K4FAQ6,0.09616035182679297,0.012675971407689742,7.548196689856304e-05,0.5101850245071203,0.3530649596789178
6183.A0A3Q0KT12,0.022073748308525036,0.0015376146728143156,1.3371618389769416e-05,0.47868232133142896,0.3769230769230769
6183.A0A3Q0KL76,0.004736129905277402,0.0003728221703943682,3.7824959776336784e-06,0.41791654994302213,0.2409090909090909
6183.A0A3Q0KLD8,0.028416779431664412,0.0034908589319988426,4.396983594160676e-05,0.47172865997724794,0.25458422174840084
6183.A0A3Q0KRN4,0.11806495263870095,0.015270155524772212,0.00037291521464121206,0.5188805881738197,0.36520832691458444
6183.G4V6S2,0.020128552097428958,0.001005381775541178,1.9454907121005014e-05,0.4695874533663851,0.27231145622806086
6183.C4Q2F9,0.035267253044654945,0.002349071539060058,4.001399979451162e-05,0.47587640037271667,0.32048976203652463
6183.A0A5K4F357,0.029769959404600813,0.0028815601075938705,0.00011477767520251464,0.4868557242860302,0.2342009842009842
6183.A0A5K4EGN8,0.04533152909336942,0.0028268093218455533,4.8804823836276795e-05,0.4885852656645696,0.2744804017296694
6183.A0A5K4EDS2,0.007527063599458729,0.0003572640722545988,5.5163056591675045e-06,0.44411273986841,0.1897344228804903
6183.A0A5K4EU40,0.0959066305818674,0.007497531628803536,8.73707029576459e-05,0.5071748221933257,0.3835177168510502
6183.A0A3Q0KS28,0.005497293640054127,0.0004618398248859437,4.428472466139352e-06,0.4473759003312601,0.3504807692307692
6183.A0A5K4ELU5,0.006258457374830853,0.00027477967804233843,0.00010273958733126004,0.41595373248732104,0.4605701592002962
6183.A0A5K4F982,0.02097428958051421,0.001204632432381426,3.6715265897960066e-05,0.46285701593839956,0.19211179313046886
6183.A0A5K4EXN7,0.011502029769959406,0.0005966745715867606,4.741710532290786e-06,0.45174973535652513,0.37745098039215685
6183.A0A3Q0KCF8,0.04254059539918809,0.004249707376744602,2.0831358705994786e-05,0.48738345916602005,0.5083364355698479
6183.G4VKZ6,0.041356562922868746,0.003671548729181763,1.656082413317898e-05,0.48375319256625665,0.3668493747695196
6183.A0A5K4F2D4,0.007780784844384304,0.00033683714700071167,5.378023759391793e-07,0.4264849750668038,0.5028666985188724
6183.A0A3Q0KDS2,0.0530277401894452,0.004436302415529409,5.264249275566079e-05,0.49297375607473043,0.3082481108376518
