#string_protein_id	preferred_name	protein_size	annotation
7227.FBpp0070001	CG9570	210	AT16669p.
7227.FBpp0070002	Or19b	387	Putative odorant receptor 19b; Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability (By similarity); Belongs to the insect chemoreceptor superfamily. Heteromeric odorant receptor channel (TC 1.A.69) family. Or2a subfamily.
7227.FBpp0070005	CG9572	441	LP13770p.
7227.FBpp0070006	CG9577	312	RE22677p; delta3,5-delta2,4-dienoyl-CoA isomerase activity. It is involved in the biological process described with: fatty acid beta-oxidation.
7227.FBpp0070007	CG9578	272	HL08141p; It is involved in the biological process described with: DNA damage checkpoint; TOR signaling; regulation of phosphoprotein phosphatase activity; signal transduction.
7227.FBpp0070025	CG9581	545	GH19483p; Peptidase activity; aminopeptidase activity; manganese ion binding.
7227.FBpp0070028	Or19a	387	Odorant receptor 19a; Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the preference for citrus fruits for oviposition, especially through the response to valencene, the primary ligand of Or19a. Larvae growing on citrus fruits suffer a reduced risk of parasitism si [...] 
7227.FBpp0070031	fd19B	260	Forkhead domain 19B; DNA-binding transcription factor activity, RNA polymerase II-specific; sequence-specific DNA binding. It is involved in the biological process described with: anatomical structure morphogenesis; cell differentiation; regulation of transcription by RNA polymerase II.
7227.FBpp0070034	CG17003	287	Alpha-tubulin N-acetyltransferase 2; Specifically acetylates 'Lys-40' in alpha-tubulin on the lumenal side of microtubules. Promotes microtubule destabilization and accelerates microtubule dynamics; this activity may be independent of acetylation activity. Acetylates alpha-tubulin with a slow enzymatic rate, due to a catalytic site that is not optimized for acetyl transfer. Enters the microtubule through each end and diffuses quickly throughout the lumen of microtubules. Acetylates only long/old microtubules because of its slow acetylation rate since it does not have time to act on dyn [...] 
7227.FBpp0070035	CG12655	155	GEO10694p1.
