#string_protein_id	preferred_name	protein_size	annotation
6183.A0A0R5RJC3	A0A0R5RJC3	354	Hsp20; Belongs to the small heat shock protein (HSP20) family.
6183.A0A0U5DPH3	A0A0U5DPH3	416	Phospholipase A protein.
6183.A0A0U5FZ31	MEG-26	73	MEG-26 protein.
6183.A0A0U5KEW2	MEG-32.1	78	MEG-32.1 protein.
6183.A0A0U5KFM1	MEG-31	63	MEG-31 protein.
6183.A0A0U5KI45	MEG-30	58	MEG-30 protein.
6183.A0A0U5KJ28	MEG-32.2	89	MEG-32.2 protein.
6183.A0A0U5KJN7	MEG-10.2	64	MEG-10.2 protein.
6183.A0A0U5KKP6	MEG-28	66	MEG-28 protein.
6183.A0A0U5KLL2	MEG-29	69	MEG-29 protein.
6183.A0A146MFR6	c19989_g1_i1	84	V-type proton ATPase subunit; Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells.
6183.A0A146MG43	c18731_g1_i1	85	UPF0506 domain-containing protein.
6183.A0A146MG44	c19114_g1_i1	142	Uncharacterized protein.
6183.A0A146MG53	c15790_g1_i1	161	Uncharacterized protein.
6183.A0A146MGC6	c6091_g2_i1	60	Uncharacterized protein.
6183.A0A146MGD5	c5016_g1_i1	68	Uncharacterized protein.
6183.A0A146MGD6	c5482_g1_i1	122	DUF953 domain-containing protein.
6183.A0A146MGE2	c5522_g1_i1	93	Dolichol-phosphate mannosyltransferase subunit 3; Stabilizer subunit of the dolichol-phosphate mannose (DPM) synthase complex; tethers catalytic subunit to the ER. Belongs to the DPM3 family.
6183.A0A146MGF5	c3412_g1_i1	91	Dynein light chain.
6183.A0A146MGI0	c1245_g1_i1	98	Uncharacterized protein.
6183.A0A146MGS0	c6943_g1_i1	127	Uncharacterized protein; Belongs to the BolA/IbaG family.
6183.A0A146MHE5	c18726_g1_i1	120	Protein yippee-like; Belongs to the yippee family.
6183.A0A146MHL9	c7454_g2_i1	75	LIM zinc-binding domain-containing protein.
6183.A0A146MHP7	c6041_g2_i1	361	PPM-type phosphatase domain-containing protein.
6183.A0A146MHS2	c4297_g1_i1	121	Uncharacterized protein; Belongs to the complex I LYR family.
6183.A0A146MHV0	c797_g1_i1	91	MICOS complex subunit MIC10; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane.
6183.A0A146MI62	c19607_g1_i1	68	Uncharacterized protein.
6183.A0A146MI69	c6680_g1_i1	215	Uncharacterized protein.
6183.A0A146MIC5	c8010_g1_i1	193	Uncharacterized protein.
6183.A0A146MID7	c7393_g1_i1	268	Uncharacterized protein.
6183.A0A146MIG6	c5934_g1_i1	83	V-type proton ATPase subunit; Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells.
6183.A0A146MIU7	c15393_g1_i1	85	Uncharacterized protein.
6183.A0A146MJ29	c5980_g1_i1	240	MARVEL domain-containing protein.
6183.A0A146MJ75	c7950_g1_i1	95	C6_DPF domain-containing protein.
6183.A0A146MJ81	c325_g1_i1	59	Acylphosphatase-like domain-containing protein; Belongs to the acylphosphatase family.
6183.A0A146MJF6	c1627_g1_i1	74	LIM zinc-binding domain-containing protein.
6183.A0A1C9A1H6	A0A1C9A1H6	141	MEG-14; MEG-14 isoform 3.
6183.A0A2H4UCT2	CavBcon	594	Putative high voltage-activated calcium channel beta subunit 2.
6183.A0A3G6V9T0	A0A3G6V9T0	651	Non-specific serine/threonine protein kinase.
6183.A0A3Q0KB89	A0A3Q0KB89	995	26S proteasome non-ATPase regulatory subunit 2; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair; Belongs to the proteasome subunit S2 family.
6183.A0A3Q0KB90	A0A3Q0KB90	245	26s proteasome regulatory particle subunit,putative.
6183.A0A3Q0KB92	A0A3Q0KB92	734	26S proteasome non-ATPase regulatory subunit 2; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair; Belongs to the proteasome subunit S2 family.
6183.A0A3Q0KB93	A0A3Q0KB93	517	Kinesin light chain, putative.
6183.A0A3Q0KB94	A0A3Q0KB94	1771	Transient receptor potential cation channel,putative; Belongs to the transient receptor (TC 1.A.4) family.
6183.A0A3Q0KB95	A0A3Q0KB95	2483	Filamin.
6183.A0A3Q0KB96	A0A3Q0KB96	337	Transcription factor, putative.
6183.A0A3Q0KB97	A0A3Q0KB97	265	1-acyl-sn-glycerol-3-phosphate acyltransferase.
6183.A0A3Q0KB98	A0A3Q0KB98	88	SNARE complex protein, putative.
6183.A0A3Q0KB99	A0A3Q0KB99	872	Hormone-sensitive lipase (S09 family).
6183.A0A3Q0KBA2	A0A3Q0KBA2	1472	Similar to elongation factor Tu GTP binding domain containing 1 isoform 6-related.
6183.A0A3Q0KBA3	A0A3Q0KBA3	208	Similar to potassium channel-interacting protein 4 isoform 4-related.
6183.A0A3Q0KBA5	A0A3Q0KBA5	1032	Smr domain-containing protein.
6183.A0A3Q0KBA7	A0A3Q0KBA7	331	Oxidoreductase, short chain dehydrogenase/reductase family, putative; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
6183.A0A3Q0KBA8	A0A3Q0KBA8	1385	Similar to WD repeat domain 19-related.
6183.A0A3Q0KBA9	A0A3Q0KBA9	1507	Uncharacterized protein.
6183.A0A3Q0KBB1	A0A3Q0KBB1	91	D2013.10.
6183.A0A3Q0KBB2	A0A3Q0KBB2	220	Trematode Eggshell Synthesis domain containing protein.
6183.A0A3Q0KBB4	A0A3Q0KBB4	86	Uncharacterized protein.
6183.A0A3Q0KBB7	A0A3Q0KBB7	347	Ndr family, putative.
6183.A0A3Q0KBB9	A0A3Q0KBB9	1086	Ecdysone-induced protein E78; Nuclear hormone receptor superfamily protein-related.
