Locus,Sec_Struct_Sheet,Percent_C,Local Average Connectivity,Density of Maximum neighborhood Component,Topology Potential,Edge Clustering Coefficient,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering,predict_rfc_over,predict_rfc_under
6183.A0A0R5RJC3,0.2796610169491525,0.0112994350282485,0.4316663297026056,0.5257336447875254,278.6876768050968,0.5342106037054185,0.0430480378890392,0.0064842292691146,4.125552220922741e-05,0.4859450326955213,0.5257336447875254,0,0
6183.A0A0U5DPH3,0.3725961538461538,0.0096153846153846,0.148903430561288,0.3404371584699454,101.08851564900078,0.3614754098360655,0.00515899864682,0.0001920174891223,0.000143195205971,0.4191302040569395,0.3404371584699454,0,0
6183.A0A0U5FZ31,0.273972602739726,0.0273972602739726,0.0052554387680273,0.6666666666666666,2.4485163913296337,0.6666666666666666,0.0003382949932341,1.613134268842855e-07,1.814753331795433e-07,0.2997994473907821,0.6666666666666666,0,0
6183.A0A0U5KEW2,0.4487179487179487,0.0,0.0425934979222683,0.8333333333333334,8.392363351856382,0.8333333333333333,0.0003382949932341,2.7469193353911283e-06,1.0177065851358622e-08,0.3303113599558137,0.8333333333333334,0,0
6183.A0A0U5KJ28,0.4719101123595505,0.0,0.0004888780249327,0.0,0.347355357853975,0.0,8.457374830852504e-05,8.589050593708901e-12,0.0,0.2002154455729017,0.0,0,0
6183.A0A0U5KLL2,0.5072463768115941,0.0144927536231884,0.0189265635366833,0.9,8.41354869731358,0.6547619047619048,0.0005920162381596,4.747331801792189e-06,3.441575661198017e-06,0.3268299267957213,0.4761904761904761,0,0
6183.A0A146MFR6,0.4404761904761904,0.0238095238095238,0.3270667318504033,0.4298989898989899,128.3364050701882,0.4380337577117479,0.0084573748308525,0.000795693468186,1.8177292119047048e-06,0.4414795940919999,0.4298989898989899,0,0
6183.A0A146MG44,0.2112676056338028,0.0140845070422535,0.200793068796002,0.2579234972677595,112.81713503014376,0.241679467485919,0.005328146143437,0.0003545498052229,1.8355955574804813e-07,0.4349261375630104,0.2416794674859191,0,0
6183.A0A146MGC6,0.3166666666666666,0.0,0.2247334674614068,1.0,47.66326888604885,1.0,0.0010994587280108,6.312331016323159e-05,0.0,0.3713825418246444,1.0,0,0
6183.A0A146MGD5,0.2941176470588235,0.0147058823529411,0.302078912909742,0.4011584680556756,460.9791723959459,0.4743814642508044,0.0910013531799729,0.008073254162563,0.0001067594842561,0.5064936376914413,0.4011584680556756,1,1
6183.A0A146MGD6,0.3360655737704918,0.0245901639344262,0.2383311313194446,0.3956043956043956,115.63096550122648,0.3855890944498539,0.0066813261163734,0.0004459453813103,1.168845493695956e-07,0.4318893029243444,0.3855890944498539,0,0
6183.A0A146MGE2,0.4193548387096775,0.021505376344086,0.1438809147958705,0.1717601204712552,178.2581145137556,0.2017073570663448,0.0180987821380243,0.0006865377481072,2.890165544480727e-05,0.4662165364528877,0.1701548857004958,0,0
6183.A0A146MGF5,0.3736263736263736,0.0219780219780219,0.4431591121622369,0.5712066703688502,275.2312910925692,0.5776178856901628,0.042202300405954,0.0065469512649144,9.98553879657988e-06,0.4851383845107755,0.5712066703688502,0,0
6183.A0A146MGI0,0.4081632653061224,0.0816326530612244,0.1140155218772916,0.1266666666666666,74.44063210812325,0.0806451612903225,0.0027063599458728,8.618269779879993e-05,3.043242295676459e-06,0.3956670835834345,0.0806451612903225,0,0
6183.A0A146MGS0,0.3228346456692913,0.0078740157480314,0.1836959178684918,0.2402853124372111,211.32375401529447,0.2585844143047551,0.0267253044654939,0.0012973561740093,2.5499801309443377e-05,0.4700216971516628,0.2402853124372111,0,0
6183.A0A146MHE5,0.3666666666666667,0.0333333333333333,0.1701616102520126,0.1218890554722638,146.83367189488558,0.119027712121206,0.01031799729364,0.000523667570309,5.700597095929064e-06,0.4601605845918581,0.1121799214198618,0,0
6183.A0A146MHL9,0.36,0.1066666666666666,0.1522132841492411,0.3627311522048364,68.55060118961653,0.2790697674418606,0.0037212449255751,0.0001833142112458,9.638188444845138e-07,0.3841097306244835,0.2790697674418604,0,0
6183.A0A146MHP7,0.2880886426592798,0.0360110803324099,0.3586397397796618,0.3712402195442275,554.6905166396806,0.4520756402421552,0.1156968876860622,0.015046058846112,0.0001590021978246,0.5175253287686996,0.3712402195442275,1,1
6183.A0A146MHS2,0.2892561983471075,0.0,0.3134647227550624,0.2943606709339215,343.8597673755954,0.3423070688465396,0.0598782138024357,0.006054372851222,5.345937748005595e-05,0.4952501441032051,0.2943606709339215,0,1
6183.A0A146MHV0,0.2857142857142857,0.0219780219780219,0.1924378288669608,0.2759365700542171,178.0432385386471,0.2686774889113603,0.0192828146143437,0.0010727803463797,6.746050734063339e-06,0.4587881029612715,0.2615735373676482,0,0
6183.A0A146MI69,0.3255813953488372,0.027906976744186,0.3046649618147848,0.2538361131015352,973.6544036327764,0.5557117039212927,0.2281799729364005,0.0253377907510045,0.0004775872844024,0.5545720897322656,0.2538361131015352,0,1
6183.A0A146MIC5,0.3264248704663212,0.0310880829015544,0.2757569204762027,0.2073536592409024,1188.530951170579,0.6282206031084406,0.2859438430311231,0.0285121785391935,0.00177752590216,0.5750026880899197,0.2073536592409024,0,1
6183.A0A146MID7,0.3432835820895522,0.003731343283582,0.1944392521124803,0.3011881188118812,136.96578979170803,0.2954032658167776,0.0086265223274695,0.0004690597359924,2.463066004759132e-05,0.4539776960722363,0.2952824694234129,0,0
